word,score
SHADE,3355
PEDAL,3354
PLEAD,3354
PRICE,3354
SMART,3353
CABLE,3352
ROGUE,3351
ROUGE,3351
EXALT,3344
SINCE,3343
NAIVE,3341
APRON,3340
NAVEL,3340
NOSEY,3340
SPIEL,3340
ASCOT,3339
COAST,3339
SMOTE,3339
STATE,3339
TASTE,3339
PURSE,3338
SUPER,3338
ABUSE,3337
DRAIN,3337
NADIR,3337
HYENA,3336
FRAME,3334
HORDE,3334
PECAN,3334
OWNER,3333
PHASE,3332
SHAPE,3332
RACER,3331
MAKER,3329
ASSET,3326
AZURE,3324
GRUEL,3324
REPLY,3324
SPADE,3324
FINER,3323
INFER,3323
OLDEN,3322
LEMUR,3321
WAGER,3321
OTTER,3318
RETRO,3316
FACET,3313
SMITE,3313
SMELT,3312
GLADE,3310
BRUTE,3309
CRAZE,3309
REBUT,3309
TUBER,3309
MEDIA,3308
CRIME,3307
MEDAL,3307
ENTER,3304
BATHE,3303
ABODE,3302
ADOBE,3302
CUTIE,3301
LOATH,3300
OPINE,3300
SHONE,3300
AGREE,3299
EAGER,3299
FLORA,3299
BAKER,3297
BRAKE,3297
BREAK,3297
GROAN,3296
ORGAN,3296
SURGE,3294
UNDER,3294
FECAL,3293
INEPT,3293
MANOR,3293
SLIME,3293
SMILE,3293
TRITE,3292
SERUM,3291
BLUER,3289
GRANT,3289
SHAME,3285
AMPLE,3284
MAPLE,3284
SALTY,3283
GRAVE,3277
PRIDE,3277
PRIED,3277
ABIDE,3276
TORUS,3276
TRAWL,3276
ABLED,3275
BLADE,3275
SHINE,3274
FLAIR,3273
FRAIL,3273
PRUNE,3271
GRAIN,3270
PATIO,3270
OMEGA,3267
SNIDE,3266
TIDAL,3266
HOMER,3264
LEAFY,3264
ROACH,3264
SPENT,3262
TOWEL,3262
BARON,3261
LEAKY,3259
REBUS,3259
CHART,3257
STARK,3257
SNEER,3254
FILET,3252
LEMON,3252
MELON,3252
NERDY,3250
SHOAL,3250
TINGE,3249
VALUE,3248
SCARY,3247
ANTIC,3246
STRAW,3246
PLAIT,3243
SHALT,3243
SNIPE,3243
SPINE,3243
STOKE,3243
BRAVE,3242
FORCE,3242
IMAGE,3241
GLEAM,3240
RISER,3240
VALOR,3239
CHAIR,3238
FREAK,3238
GROPE,3236
STAID,3236
BRAIN,3235
DIRGE,3233
RIDGE,3233
STORY,3232
PARER,3231
ACRID,3230
BEGAT,3228
WHEAT,3228
WAFER,3227
COWER,3226
BERTH,3225
CEASE,3225
GLOAT,3225
WREAK,3222
DECAY,3221
NOBLE,3220
TARDY,3220
SUAVE,3218
ETHIC,3217
DREAD,3216
DROIT,3215
SCANT,3215
ELITE,3214
INANE,3214
FOYER,3213
RIVAL,3213
VIRAL,3213
SPLAT,3212
AMEND,3210
CLERK,3210
GRIPE,3210
OUNCE,3210
EDICT,3209
HAIRY,3209
SAVOR,3209
BAGEL,3208
HOUSE,3208
WHALE,3208
CRASH,3207
PRIME,3207
AMBLE,3205
BLAME,3205
DAIRY,3201
DIARY,3201
PROBE,3201
OLIVE,3199
SINGE,3199
BRIDE,3198
ERECT,3197
INLAY,3197
PARTY,3197
CHOSE,3193
SHORT,3192
BLOAT,3190
PAPER,3190
CARGO,3189
SHAKE,3189
STOVE,3188
CRUDE,3187
FIERY,3187
HOARD,3187
CHEST,3186
FLYER,3186
MACRO,3186
NASTY,3186
REARM,3184
SLEET,3183
STEEL,3183
UNCLE,3183
COVER,3182
OFTEN,3181
AORTA,3180
DEITY,3180
SCRAP,3176
SPERM,3176
TOKEN,3176
MURAL,3174
TAROT,3171
SETUP,3170
UPSET,3170
SCREW,3169
SOLVE,3168
WAVER,3167
SHIRT,3166
COMET,3165
GAZER,3165
GRAZE,3165
HALVE,3164
CIGAR,3163
GRIME,3163
COPSE,3162
REUSE,3162
SCOPE,3162
FELON,3161
SPORT,3161
BOAST,3160
YIELD,3160
CHEAP,3158
PEACH,3158
SPEAK,3158
MAYOR,3157
PIETY,3157
CAGEY,3154
COBRA,3154
OMBRE,3154
TIARA,3154
ALTAR,3153
PIANO,3153
HEADY,3152
REBAR,3152
PULSE,3150
THREW,3150
KNELT,3149
LEERY,3148
RASPY,3147
SCREE,3147
SPRAY,3147
SUGAR,3147
FLAME,3146
IRONY,3146
PAINT,3146
PLANT,3145
TRAIT,3145
SCORN,3144
DECRY,3143
MANGE,3143
EXACT,3140
RANCH,3140
FRIED,3139
TWINE,3139
STAND,3138
GUILE,3137
POKER,3137
RALPH,3137
INNER,3136
SPICE,3136
DEPOT,3135
ELFIN,3135
STRIP,3135
SHAVE,3134
BLAST,3133
POESY,3133
ALOFT,3131
FLOAT,3131
LIKEN,3130
MOUSE,3130
RAPID,3130
SHARD,3130
ZEBRA,3130
SCRAM,3129
BOULE,3128
ETHER,3128
TANGO,3128
THERE,3128
THREE,3128
TONGA,3128
EQUAL,3127
ERODE,3127
ALLEY,3126
GUEST,3126
PLAIN,3126
POWER,3126
NORTH,3125
THORN,3125
WEIRD,3123
WIDER,3123
DETER,3120
FRESH,3116
BASIL,3114
FABLE,3114
KNEAD,3114
START,3114
STORM,3114
HOVER,3113
ORBIT,3113
BEGAN,3111
EAGLE,3111
BLEAK,3109
TEPID,3109
ALONG,3108
GUISE,3107
SHARP,3107
RHINO,3106
DROVE,3105
EXTOL,3105
TITLE,3104
RANDY,3103
COURT,3102
GIANT,3102
OVINE,3102
UTTER,3102
NOVEL,3101
ELDER,3100
LOOSE,3100
NICHE,3100
SHREW,3100
TRUER,3100
FORGE,3098
GOFER,3098
HONEY,3097
THETA,3096
BATON,3093
BROIL,3093
CORER,3092
CROAK,3090
SHIED,3090
GAVEL,3089
PLIED,3089
SINEW,3089
SWINE,3089
AWARE,3088
CRAFT,3088
PRUDE,3087
TENSE,3086
ABHOR,3085
AUDIO,3084
ALOUD,3083
CURIO,3083
TRACK,3083
ALIGN,3082
PROVE,3082
ABOVE,3081
PERCH,3080
RULER,3080
BEACH,3079
DIVER,3079
DRIVE,3079
MOWER,3079
TRAMP,3079
LADLE,3078
SHEER,3078
AUDIT,3077
BOARD,3077
BROAD,3077
LEPER,3077
REPEL,3077
ADULT,3076
MASON,3075
SHORN,3075
STOIC,3074
EIGHT,3073
ESSAY,3073
MERCY,3073
GRIEF,3072
ANGST,3071
LODGE,3071
LATCH,3069
STALK,3069
MODEL,3068
PRINT,3068
HAVEN,3067
CRIER,3066
FORAY,3066
TEMPO,3065
FLUTE,3062
AWOKE,3061
MARSH,3060
SCALY,3059
SPIED,3059
TODAY,3059
WAIST,3059
BROKE,3058
BUYER,3056
RETRY,3056
UNMET,3056
VIPER,3056
LAPEL,3055
TWEAK,3054
EGRET,3053
GREET,3053
CRAWL,3052
HAZEL,3052
SCOUR,3052
VIOLA,3052
VOILA,3052
BRAID,3051
HYPER,3051
RABID,3051
SLANG,3051
FLAKE,3050
METER,3050
SURER,3050
EXIST,3049
CLEFT,3047
SPREE,3047
CHAOS,3046
TRULY,3046
CRUST,3045
GLIDE,3045
URBAN,3045
VITAL,3045
HEATH,3044
WARTY,3043
BEADY,3042
CYBER,3041
DEMUR,3040
FAIRY,3040
PINEY,3040
LUNGE,3039
GROVE,3038
SCARF,3038
BRIEF,3037
FIBER,3037
FIBRE,3037
RODEO,3037
ANGRY,3036
LUMEN,3036
MOVER,3035
FETUS,3032
GRASP,3032
TWICE,3032
GROIN,3031
AGATE,3030
DEBIT,3030
BRASH,3028
MINOR,3028
AUNTY,3027
CHUTE,3027
FLIRT,3027
PHONE,3026
CRESS,3024
FROST,3023
MINCE,3022
SALVO,3021
CHAFE,3020
PURGE,3020
CLASH,3019
IMPEL,3019
MONEY,3019
BERET,3018
LEFTY,3018
MATTE,3018
STORK,3018
TORCH,3018
BASIN,3017
RUSTY,3016
ORDER,3015
VISTA,3015
COVET,3014
DAILY,3013
GIVER,3012
LYRIC,3012
DRAFT,3011
ENEMA,3011
LEGAL,3011
SCALD,3011
TWIRL,3011
ALGAE,3010
HASTY,3010
APTLY,3009
ELECT,3009
VICAR,3009
FAINT,3008
TONIC,3007
WORST,3007
OVARY,3006
HOIST,3005
ASKEW,3004
PILOT,3004
RHYME,3004
SLOTH,3004
COUPE,3003
NOOSE,3003
WRATH,3003
APPLE,3002
ABOUT,3001
GOLEM,3001
CHOIR,2999
CLUED,2999
REBEL,2998
FIRST,2997
EYING,2996
ROBIN,2996
SURLY,2996
ABATE,2995
UNLIT,2995
UNTIL,2995
VOICE,2995
CLOVE,2994
ALLOT,2993
ATOLL,2993
SKIRT,2992
VEGAN,2992
SNOUT,2991
DRIER,2989
RIDER,2989
ADOPT,2988
CLASP,2988
EVICT,2988
FINAL,2988
GRAND,2988
SCALP,2988
BONEY,2987
EBONY,2987
HAUNT,2987
